domain,index,text_match,terminology,mean,sem
biology,0,in-domain,common,6.670253961537288,0.18688636708680173
biology,0,in-domain,technical T1,10.191931818764855,0.6556824376350052
biology,0,in-domain,technical T2,15.999409687909354,1.1033300378824815
biology,0,out-of-domain,common,6.33697554894696,0.1805108197287232
biology,0,out-of-domain,technical T1,8.497776606483304,0.5163356787778954
biology,0,out-of-domain,technical T2,11.279126471304378,0.9999658484292705
biology,1,in-domain,common,6.790540751470083,0.18484823510642628
biology,1,in-domain,technical T1,10.280562214380346,0.6369717825260843
biology,1,in-domain,technical T2,16.220849452433683,1.1081347699334787
biology,1,out-of-domain,common,6.480999055244844,0.17857722743449136
biology,1,out-of-domain,technical T1,9.019079526980924,0.5178494668596804
biology,1,out-of-domain,technical T2,11.932941683951716,1.0595679173182708
biology,2,in-domain,common,6.819528305782757,0.18802067850087836
biology,2,in-domain,technical T1,10.260912539743725,0.6349644881153346
biology,2,in-domain,technical T2,16.237989630664007,1.1186597955239315
biology,2,out-of-domain,common,6.490637383930037,0.18040637668160797
biology,2,out-of-domain,technical T1,9.034666080905556,0.5214037304485277
biology,2,out-of-domain,technical T2,12.005730955245227,1.0843222325279724
biology,3,in-domain,common,6.632943775875795,0.17982232961431982
biology,3,in-domain,technical T1,10.207275348916419,0.636075478869156
biology,3,in-domain,technical T2,16.08806138649546,1.0923024823619625
biology,3,out-of-domain,common,6.2791360856218965,0.1736375386144856
biology,3,out-of-domain,technical T1,8.57857081912623,0.5120219635621563
biology,3,out-of-domain,technical T2,11.372173006244056,1.015090348915626
biology,4,in-domain,common,6.745873536019231,0.1849753184877765
biology,4,in-domain,technical T1,10.324908059327376,0.6471534585888276
biology,4,in-domain,technical T2,16.21674826283459,1.1039445995841184
biology,4,out-of-domain,common,6.457659428834581,0.17923619638260474
biology,4,out-of-domain,technical T1,9.014365771937685,0.5280182679770554
biology,4,out-of-domain,technical T2,11.916821597583082,1.0714156834601682
biology,5,in-domain,common,6.822881013133637,0.18820633471328593
biology,5,in-domain,technical T1,10.436287360046775,0.6350923773278551
biology,5,in-domain,technical T2,16.467341408545195,1.1311996750492581
biology,5,out-of-domain,common,6.471538277647587,0.1807464572340741
biology,5,out-of-domain,technical T1,9.112789045946684,0.5244597816393639
biology,5,out-of-domain,technical T2,12.141384635917499,1.1070439435150798
biology,6,in-domain,common,6.8721025055552225,0.19260204667577252
biology,6,in-domain,technical T1,10.419423680904211,0.6425995525005
biology,6,in-domain,technical T2,16.55606922626285,1.1388880275605857
biology,6,out-of-domain,common,6.497685827977373,0.18258193025653313
biology,6,out-of-domain,technical T1,9.219886293737256,0.5246144729801494
biology,6,out-of-domain,technical T2,12.282842092449226,1.1325513964005356
physics,0,in-domain,common,6.33697554894696,0.1805108197287232
physics,0,in-domain,technical T1,8.497776606483304,0.5163356787778954
physics,0,in-domain,technical T2,11.279126471304378,0.9999658484292705
physics,0,out-of-domain,common,6.670253961537288,0.18688636708680173
physics,0,out-of-domain,technical T1,10.191931818764855,0.6556824376350052
physics,0,out-of-domain,technical T2,15.999409687909354,1.1033300378824815
physics,1,in-domain,common,6.347179304121807,0.17594128205587475
physics,1,in-domain,technical T1,8.59923527506892,0.5177309865298609
physics,1,in-domain,technical T2,11.490187200931306,1.0158064275542695
physics,1,out-of-domain,common,6.69962426363251,0.1834467922199764
physics,1,out-of-domain,technical T1,10.58434085915529,0.6755352364652607
physics,1,out-of-domain,technical T2,16.742050007391544,1.1679926216652978
physics,2,in-domain,common,6.395241244674326,0.17815289819423008
physics,2,in-domain,technical T1,8.639963605860856,0.5257038877423581
physics,2,in-domain,technical T2,11.510895724059724,1.024502762759029
physics,2,out-of-domain,common,6.761684217481501,0.18585635421589872
physics,2,out-of-domain,technical T1,10.594340574909829,0.6811215102883201
physics,2,out-of-domain,technical T2,16.859879568319425,1.1707718866179218
physics,3,in-domain,common,6.286018435940896,0.1732487611164771
physics,3,in-domain,technical T1,8.572729436222392,0.5089428144263719
physics,3,in-domain,technical T2,11.401933507060503,1.0184573488330897
physics,3,out-of-domain,common,6.646926863196378,0.1794884360973195
physics,3,out-of-domain,technical T1,10.394045669930522,0.6444451177385747
physics,3,out-of-domain,technical T2,16.353336189176705,1.1182874886140226
physics,4,in-domain,common,6.392389518100123,0.1776092081141936
physics,4,in-domain,technical T1,8.693699105852069,0.5234296843574211
physics,4,in-domain,technical T2,11.488077509312083,1.0135335726783643
physics,4,out-of-domain,common,6.721074390755664,0.1838254547276459
physics,4,out-of-domain,technical T1,10.612834143782726,0.6752722468795107
physics,4,out-of-domain,technical T2,16.710442271890997,1.1661413620009373
physics,5,in-domain,common,6.385893991403902,0.178425696213492
physics,5,in-domain,technical T1,8.639514131271413,0.5284060040848775
physics,5,in-domain,technical T2,11.424553095407791,1.0093210290356618
physics,5,out-of-domain,common,6.772245586945797,0.18705891827583468
physics,5,out-of-domain,technical T1,10.631869244847513,0.6813789980683698
physics,5,out-of-domain,technical T2,16.894131494405773,1.1698968015912872
physics,6,in-domain,common,6.354324736247271,0.17721255141018724
physics,6,in-domain,technical T1,8.613056284360864,0.533442888961267
physics,6,in-domain,technical T2,11.39242736331994,1.020249947747727
physics,6,out-of-domain,common,6.798694144746862,0.1878547410929074
physics,6,out-of-domain,technical T1,10.693636863160576,0.6947821189234259
physics,6,out-of-domain,technical T2,17.220628836284735,1.1980177427610614
