domain,index,text_match,terminology,mean,sem
biology,0,in-domain,common,5.6121923837193455,0.16988161445384845
biology,0,in-domain,technical T1,7.731400239341732,0.6735604943355755
biology,0,in-domain,technical T2,11.386591332260373,0.835547869892877
biology,0,out-of-domain,common,5.299300168506781,0.17173066448859994
biology,0,out-of-domain,technical T1,6.425337216592385,0.4624666654772617
biology,0,out-of-domain,technical T2,9.445740310077614,1.1113861644312248
biology,1,in-domain,common,5.7365518716429955,0.1698230056434547
biology,1,in-domain,technical T1,8.100960887817797,0.6633056341085442
biology,1,in-domain,technical T2,12.472770365080466,0.9423513259404105
biology,1,out-of-domain,common,5.5711093726407075,0.17137060262449347
biology,1,out-of-domain,technical T1,7.262594783629081,0.5000695558573063
biology,1,out-of-domain,technical T2,10.361639966686477,1.1631518583772296
biology,2,in-domain,common,5.760456879165888,0.16944476874745057
biology,2,in-domain,technical T1,8.082998413038071,0.664628171983258
biology,2,in-domain,technical T2,12.46668331249546,0.9358181086585652
biology,2,out-of-domain,common,5.621597798790652,0.1717566860700925
biology,2,out-of-domain,technical T1,7.144560407876232,0.4940284990086033
biology,2,out-of-domain,technical T2,10.220535644813875,1.112015897356818
biology,3,in-domain,common,5.621934765784834,0.16981701092154328
biology,3,in-domain,technical T1,7.777213953766362,0.6703122950683384
biology,3,in-domain,technical T2,11.317331034069264,0.8325509129751787
biology,3,out-of-domain,common,5.3104399005257035,0.17150479055444165
biology,3,out-of-domain,technical T1,6.456255180761725,0.4600713730280132
biology,3,out-of-domain,technical T2,9.440590568855578,1.0840334894180372
biology,4,in-domain,common,5.726315819231579,0.17044485337858722
biology,4,in-domain,technical T1,8.134562520580852,0.6807606991104788
biology,4,in-domain,technical T2,12.203682554905333,0.895964825256284
biology,4,out-of-domain,common,5.452326269636113,0.17021542254519798
biology,4,out-of-domain,technical T1,6.7503401189346155,0.4724014732409507
biology,4,out-of-domain,technical T2,9.951600721585157,1.0691824096479083
biology,5,in-domain,common,5.775861820374875,0.1694676573971569
biology,5,in-domain,technical T1,8.431365104538601,0.6830005580846201
biology,5,in-domain,technical T2,12.593015971828406,0.9737477548044307
biology,5,out-of-domain,common,5.61868202479289,0.1714049629140093
biology,5,out-of-domain,technical T1,7.128451192146048,0.4868620800091443
biology,5,out-of-domain,technical T2,10.06398988906894,1.0813756631190639
biology,6,in-domain,common,5.830956808431491,0.1738068204346293
biology,6,in-domain,technical T1,8.18402320632329,0.6846636391184484
biology,6,in-domain,technical T2,12.458772381975969,0.9835704046744429
biology,6,out-of-domain,common,5.683915387988665,0.17567016582344722
biology,6,out-of-domain,technical T1,7.357508071708226,0.513291524577476
biology,6,out-of-domain,technical T2,10.433865900748899,1.2035500748659373
physics,0,in-domain,common,5.299300168506781,0.17173066448859994
physics,0,in-domain,technical T1,6.425337216592385,0.4624666654772617
physics,0,in-domain,technical T2,9.445740310077614,1.1113861644312248
physics,0,out-of-domain,common,5.6121923837193455,0.16988161445384845
physics,0,out-of-domain,technical T1,7.731400239341732,0.6735604943355755
physics,0,out-of-domain,technical T2,11.386591332260373,0.835547869892877
physics,1,in-domain,common,5.4043745649586326,0.16847161003424693
physics,1,in-domain,technical T1,6.69329789513304,0.46695043268824915
physics,1,in-domain,technical T2,9.747847173780306,1.0181433427495707
physics,1,out-of-domain,common,5.691965391695922,0.16840940965425982
physics,1,out-of-domain,technical T1,8.361807987859118,0.6968289080802345
physics,1,out-of-domain,technical T2,12.125761068739347,0.9360558731894281
physics,2,in-domain,common,5.461598304576615,0.16957242268164877
physics,2,in-domain,technical T1,6.6081705871560565,0.4661192499781326
physics,2,in-domain,technical T2,9.73965569167837,1.0061118802436995
physics,2,out-of-domain,common,5.684907351091283,0.16889361448332205
physics,2,out-of-domain,technical T1,8.376638578520039,0.6934243255169649
physics,2,out-of-domain,technical T2,12.380081378390711,0.9097501832817361
physics,3,in-domain,common,5.286250213659521,0.17113459230034306
physics,3,in-domain,technical T1,6.388116483374718,0.4620379465503364
physics,3,in-domain,technical T2,9.332274064101915,1.084386471445924
physics,3,out-of-domain,common,5.610359156966355,0.1693302903281418
physics,3,out-of-domain,technical T1,7.712776598870055,0.6669650282541542
physics,3,out-of-domain,technical T2,11.279353482129657,0.8268617830888886
physics,4,in-domain,common,5.376247522939286,0.1693323756795435
physics,4,in-domain,technical T1,6.716893193583827,0.4828066298488461
physics,4,in-domain,technical T2,9.873312475914911,1.104120340890546
physics,4,out-of-domain,common,5.633355062998059,0.1676351610102215
physics,4,out-of-domain,technical T1,8.298510006265097,0.7069489569817944
physics,4,out-of-domain,technical T2,12.081532333522121,0.8954587615274746
physics,5,in-domain,common,5.446443369248516,0.17009638601154983
physics,5,in-domain,technical T1,6.7123295417660716,0.47992370790152633
physics,5,in-domain,technical T2,9.95084973161412,1.0285379478537284
physics,5,out-of-domain,common,5.679419392444354,0.1688538851049533
physics,5,out-of-domain,technical T1,8.299558268955964,0.6881887188226828
physics,5,out-of-domain,technical T2,12.190668478633937,0.9156185829112823
physics,6,in-domain,common,5.492646749823625,0.17146255196377508
physics,6,in-domain,technical T1,6.657426188692089,0.47935870235042893
physics,6,in-domain,technical T2,9.872611021183017,1.0457940090302194
physics,6,out-of-domain,common,5.764897894201544,0.1691230841722485
physics,6,out-of-domain,technical T1,8.418139433273794,0.6909085269063466
physics,6,out-of-domain,technical T2,12.892125251174383,0.9889343690877737
