model_lm,measure,index,training_steps,model,n,ll,delta_ll,chisq,p_lrt,aic,b_surprisal,se_surprisal
german-gpt2,TFT,1,4,aligned,123821,-106539.64778533862,89.9907311379211,179.9814622758422,4.891790570538731e-41,213105.29557067723,0.011896935694492124,0.0008350350495716166
german-gpt2,TFT,2,16,aligned,123821,-106539.6259153496,90.01260112693126,180.02520225386252,4.78539338440713e-41,213105.2518306992,0.011899330990712383,0.0008351219016999463
german-gpt2,TFT,3,64,aligned,123821,-106538.3880057552,91.25051072133647,182.50102144267294,1.3783712373211362e-41,213102.7760115104,0.012087285722430055,0.0008429235452033526
german-gpt2,TFT,4,256,aligned,123821,-106515.89700585992,113.74151061661541,227.48302123323083,2.1099227462654693e-51,213057.79401171985,0.014001131003705557,0.0008778913546053855
german-gpt2,TFT,5,1024,aligned,123821,-106507.45513733418,122.18337914235599,244.36675828471198,4.391291397920208e-55,213040.91027466836,0.014296391868657872,0.0008669489019082472
german-gpt2,TFT,6,4096,aligned,123821,-106506.48808141975,123.15043505678477,246.30087011356954,1.663056408802828e-55,213038.9761628395,0.01405599402260782,0.0008489945861390417
german-gpt2,TFT,,,baseline,123821,-106539.64972746579,89.98878901074931,179.97757802149863,4.901352598779564e-41,213105.29945493158,0.011897355366534823,0.0008350950439350149
german-gpt2,TFT,,,prompt_neutral,123821,-106518.1827866271,111.45572984943283,222.91145969886566,2.0957453575157536e-50,213062.3655732542,0.013646203854020756,0.0008613340175704191
german-gpt2,TFT,,,prompted,123821,-106516.40936707033,113.22914940620831,226.45829881241661,3.52983268019727e-51,213058.81873414066,0.013763399814813976,0.000862105496553002
llammlein-1b,TFT,1,4,aligned,123821,-106552.8048904544,76.83362602214038,153.66725204428076,2.7380915204464165e-35,213131.6097809088,0.015721145713593523,0.0011951851147948035
llammlein-1b,TFT,2,16,aligned,123821,-106552.83586215798,76.80265431855514,153.60530863711028,2.82478400780567e-35,213131.67172431597,0.01572184619354688,0.0011955168731141753
llammlein-1b,TFT,3,64,aligned,123821,-106552.03356089687,77.60495557966351,155.20991115932702,1.259859017580091e-35,213130.06712179375,0.015822428325090763,0.0011978130877559985
llammlein-1b,TFT,4,256,aligned,123821,-106551.03892506794,78.59959140859428,157.19918281718856,4.630479925422843e-36,213128.0778501359,0.015768797655211643,0.0011865658335415527
llammlein-1b,TFT,5,1024,aligned,123821,-106544.96448830451,84.67402817202674,169.34805634405348,1.026973055579559e-38,213115.92897660902,0.015786515088623984,0.0011487997666009676
llammlein-1b,TFT,6,4096,aligned,123821,-106553.46536168836,76.17315478817909,152.34630957635818,5.322772755711753e-35,213132.93072337672,0.013862811880448175,0.0010584979422737768
llammlein-1b,TFT,,,baseline,123821,-106552.77428687993,76.86422959661286,153.72845919322572,2.6550433260270225e-35,213131.54857375985,0.01572426930892548,0.0011952225340374975
llammlein-1b,TFT,,,prompt_neutral,123821,-106560.23810345074,69.4004130257963,138.8008260515926,4.8691501029531724e-32,213146.47620690148,0.01479704214130751,0.001181397294387259
llammlein-1b,TFT,,,prompted,123821,-106553.56656476337,76.07195171316562,152.14390342633124,5.893521615423248e-35,213133.13312952674,0.015528583374121859,0.0011875669138365734
