model,text_domain,condition,label,mean,sem,n
german-gpt2,physics,baseline,baseline,18.655239516643757,1.7001251247875628,66
german-gpt2,physics,aligned,aligned (physics prompt),17.901883204482317,1.6688514611048983,66
german-gpt2,physics,misaligned,misaligned (biology prompt),17.908984213093387,1.6717391106350217,66
german-gpt2,biology,baseline,baseline,23.7238741530118,1.647193019021722,88
german-gpt2,biology,aligned,aligned (biology prompt),22.747375196565283,1.5492376843559612,88
german-gpt2,biology,misaligned,misaligned (physics prompt),22.784834472384215,1.5539572510575483,88
llammlein-1b,physics,baseline,baseline,9.446292083836616,1.111766173681238,66
llammlein-1b,physics,aligned,aligned (physics prompt),9.406924715893702,1.0530620242890742,66
llammlein-1b,physics,misaligned,misaligned (biology prompt),9.887684348435853,1.1104862977023702,66
llammlein-1b,biology,baseline,baseline,11.38674181037594,0.8355665392468841,88
llammlein-1b,biology,aligned,aligned (biology prompt),11.37486339800049,0.8233363338910819,88
llammlein-1b,biology,misaligned,misaligned (physics prompt),11.671942407986059,0.8799083056342473,88
