model,group,feature_set,mean_delta_adj_r2,n_sig_wilcoxon,attention_mean_abs_t
baseline,experts,no_surprisal,-0.0023538139915911327,0,1.8463750077877068
baseline,experts,with_surprisal,-0.0018328057384336643,0,2.642860396816746
baseline,novices,no_surprisal,-0.001886632121234236,0,0.9653550329802348
baseline,novices,with_surprisal,-0.0010188083847899598,0,1.5313548727087756
biology-ckpt1,experts,no_surprisal,-0.0021418263943316757,0,1.850959348961054
biology-ckpt1,experts,with_surprisal,-0.001988626717643866,0,2.626726298440154
biology-ckpt1,novices,no_surprisal,-0.0018804772902890462,0,0.945120198600283
biology-ckpt1,novices,with_surprisal,-0.0009613413431273246,0,1.4168759559825348
physics-ckpt1,experts,no_surprisal,-0.0019212964692627249,0,1.8402803308855247
physics-ckpt1,experts,with_surprisal,-0.0013662199369143574,0,2.686289809408436
physics-ckpt1,novices,no_surprisal,-0.0019953741180700796,0,0.9806913022282988
physics-ckpt1,novices,with_surprisal,-0.0008001260722866967,0,1.5633451946707495
