model,group,layer,feature,attention_method,spearman,p,n
baseline,experts,0,FPRT,raw,0.6445893534917648,6.767066947484051e-200,1697
baseline,experts,0,TFT,raw,0.6104932265175255,2.8494591490882048e-174,1701
baseline,experts,0,FFD,raw,0.6648961265612169,4.779699979999762e-217,1697
baseline,experts,0,SFD,raw,0.6615231868263107,7.455308997124334e-213,1687
baseline,experts,0,RPD_inc,raw,0.5104806587567932,2.8750598012995596e-113,1697
baseline,experts,0,TFC,raw,0.631462288069926,6.261044351743335e-190,1701
baseline,experts,0,pca,raw,0.5723187281430626,2.9626109155646115e-148,1697
baseline,experts,1,FPRT,raw,0.5042710959752453,3.8659256141966296e-110,1697
baseline,experts,1,TFT,raw,0.36357135016125086,2.622809988386949e-54,1701
baseline,experts,1,FFD,raw,0.7175817962097971,1.4297218582713175e-268,1697
baseline,experts,1,SFD,raw,0.695609991827767,2.7743962325758287e-244,1687
baseline,experts,1,RPD_inc,raw,0.36138853617138395,1.6427148847314724e-53,1697
baseline,experts,1,TFC,raw,0.383594585155188,9.550055938957179e-61,1701
baseline,experts,1,pca,raw,0.38180694564473616,5.138074506863444e-60,1697
baseline,experts,2,FPRT,raw,0.411987979516843,1.6134066799210342e-70,1697
baseline,experts,2,TFT,raw,0.2862652497133995,1.9188211193304924e-33,1701
baseline,experts,2,FFD,raw,0.5824947923890853,9.44169953488881e-155,1697
baseline,experts,2,SFD,raw,0.5632168198872087,8.366922483910009e-142,1687
baseline,experts,2,RPD_inc,raw,0.30579613792277044,4.613719353824542e-38,1697
baseline,experts,2,TFC,raw,0.3024169025501649,2.621663161701209e-37,1701
baseline,experts,2,pca,raw,0.30424791037925414,1.120783947363613e-37,1697
baseline,experts,3,FPRT,raw,0.34230247298356525,7.610122130762328e-48,1697
baseline,experts,3,TFT,raw,0.22832180385739645,1.4841071810462085e-21,1701
baseline,experts,3,FFD,raw,0.5237358576579775,3.626997870920734e-120,1697
baseline,experts,3,SFD,raw,0.5028464011048057,8.516278327562033e-109,1687
baseline,experts,3,RPD_inc,raw,0.26489441656703555,1.211373886628279e-28,1697
baseline,experts,3,TFC,raw,0.24422185624181023,1.6096962865779387e-24,1701
baseline,experts,3,pca,raw,0.24295567111663272,3.1933140947807937e-24,1697
baseline,experts,4,FPRT,raw,0.4041767339586536,1.075020782755399e-67,1697
baseline,experts,4,TFT,raw,0.29918847010400274,1.625643247794488e-36,1701
baseline,experts,4,FFD,raw,0.5359906890915044,8.002021869802991e-127,1697
baseline,experts,4,SFD,raw,0.5224731220065011,8.386099833578321e-119,1687
baseline,experts,4,RPD_inc,raw,0.31998748865716187,1.049388840146783e-41,1697
baseline,experts,4,TFC,raw,0.31321158383656206,4.955219321679221e-40,1701
baseline,experts,4,pca,raw,0.31768370346669744,4.226046801713628e-41,1697
baseline,experts,5,FPRT,raw,0.24113001660334615,7.128252054128576e-24,1697
baseline,experts,5,TFT,raw,0.11649170551411946,1.4546574766978075e-06,1701
baseline,experts,5,FFD,raw,0.44549309231932804,1.6298563005058615e-83,1697
baseline,experts,5,SFD,raw,0.424349042719889,1.0367665135117192e-74,1687
baseline,experts,5,RPD_inc,raw,0.1615766491592323,2.1533512064284277e-11,1697
baseline,experts,5,TFC,raw,0.13532104343250598,2.1096968478434354e-08,1701
baseline,experts,5,pca,raw,0.14315576744597747,3.1527420591508264e-09,1697
baseline,experts,6,FPRT,raw,0.44188087052984837,4.8377320337552927e-82,1697
baseline,experts,6,TFT,raw,0.35830876446919985,1.0878331145021376e-52,1701
baseline,experts,6,FFD,raw,0.559980958414305,1.120044747534998e-140,1697
baseline,experts,6,SFD,raw,0.5437743799112746,1.9646902445519725e-130,1687
baseline,experts,6,RPD_inc,raw,0.3332437262251164,2.7256691356882062e-45,1697
baseline,experts,6,TFC,raw,0.3774302571852294,1.0251197900821106e-58,1701
baseline,experts,6,pca,raw,0.3577042265398719,2.187200030122348e-52,1697
baseline,experts,7,FPRT,raw,0.43186110266317895,4.753926287483767e-78,1697
baseline,experts,7,TFT,raw,0.38211844921411386,2.9532066147578293e-60,1701
baseline,experts,7,FFD,raw,0.4763674154074716,7.514098493047857e-97,1697
baseline,experts,7,SFD,raw,0.4605512442845935,2.4991350119736726e-89,1687
baseline,experts,7,RPD_inc,raw,0.3578484074578211,1.9777345726684747e-52,1697
baseline,experts,7,TFC,raw,0.3962266769243003,4.785581096444948e-65,1701
baseline,experts,7,pca,raw,0.36859738056392916,9.38516890155648e-56,1697
baseline,experts,8,FPRT,raw,0.45351263694538974,7.565139706079714e-87,1697
baseline,experts,8,TFT,raw,0.41610324513778374,3.3418323246818016e-72,1701
baseline,experts,8,FFD,raw,0.49328527623537044,9.257546011799402e-105,1697
