model,group,feature_set,target,predictor,abs_t
baseline,experts,length_freq,FPRT,log_word_freq,0.7108575473926849
baseline,experts,length_freq,FPRT,log_word_length,7.60281199087219
baseline,experts,length_freq,FPRT,attention,21.86022694778664
baseline,experts,length_freq,TFT,log_word_freq,1.183159121960589
baseline,experts,length_freq,TFT,log_word_length,12.52095053864996
baseline,experts,length_freq,TFT,attention,22.591911980559416
baseline,experts,length_freq,FFD,log_word_freq,2.3185378313572134
baseline,experts,length_freq,FFD,log_word_length,1.336126432953252
baseline,experts,length_freq,FFD,attention,29.710165504012263
baseline,experts,length_freq,SFD,log_word_freq,2.2616742329964254
baseline,experts,length_freq,SFD,log_word_length,0.3666452655882814
baseline,experts,length_freq,SFD,attention,26.682429722855225
baseline,experts,length_freq,RPD_inc,log_word_freq,0.9816434936106382
baseline,experts,length_freq,RPD_inc,log_word_length,4.692645543088814
baseline,experts,length_freq,RPD_inc,attention,18.5188871044103
baseline,experts,length_freq,TFC,log_word_freq,0.11752555446865909
baseline,experts,length_freq,TFC,log_word_length,13.259250599225476
baseline,experts,length_freq,TFC,attention,24.08232032916509
baseline,experts,length_freq,pca,log_word_freq,0.2356150570629417
baseline,experts,length_freq,pca,log_word_length,10.061083756219508
baseline,experts,length_freq,pca,attention,21.866023600242272
baseline,novices,length_freq,FPRT,log_word_freq,1.555712280128118
baseline,novices,length_freq,FPRT,log_word_length,11.18969384151412
baseline,novices,length_freq,FPRT,attention,18.953178813657996
baseline,novices,length_freq,TFT,log_word_freq,0.6895067078528355
baseline,novices,length_freq,TFT,log_word_length,14.201644677136164
baseline,novices,length_freq,TFT,attention,20.36227682328322
baseline,novices,length_freq,FFD,log_word_freq,4.2986002549622135
baseline,novices,length_freq,FFD,log_word_length,1.4272992541116163
baseline,novices,length_freq,FFD,attention,21.832423773426367
baseline,novices,length_freq,SFD,log_word_freq,3.4758450276556636
baseline,novices,length_freq,SFD,log_word_length,0.8831920908353007
baseline,novices,length_freq,SFD,attention,21.20873874299463
baseline,novices,length_freq,RPD_inc,log_word_freq,0.9977970879733278
baseline,novices,length_freq,RPD_inc,log_word_length,7.31153685033212
baseline,novices,length_freq,RPD_inc,attention,16.419441884486424
baseline,novices,length_freq,TFC,log_word_freq,1.6883711760424225
baseline,novices,length_freq,TFC,log_word_length,14.774145441225736
baseline,novices,length_freq,TFC,attention,21.385575448310135
baseline,novices,length_freq,pca,log_word_freq,1.6213276757056843
baseline,novices,length_freq,pca,log_word_length,12.29120977348373
baseline,novices,length_freq,pca,attention,19.36029011950919
physics-ckpt1,experts,length_freq,FPRT,log_word_freq,1.8036764341416183
physics-ckpt1,experts,length_freq,FPRT,log_word_length,9.834191344282761
physics-ckpt1,experts,length_freq,FPRT,attention,23.80134492594779
physics-ckpt1,experts,length_freq,TFT,log_word_freq,2.0309189631765765
physics-ckpt1,experts,length_freq,TFT,log_word_length,15.470141952605253
physics-ckpt1,experts,length_freq,TFT,attention,24.350823508878413
physics-ckpt1,experts,length_freq,FFD,log_word_freq,4.455872637526436
physics-ckpt1,experts,length_freq,FFD,log_word_length,1.108828274649541
physics-ckpt1,experts,length_freq,FFD,attention,25.7936965484454
physics-ckpt1,experts,length_freq,SFD,log_word_freq,4.721125472414871
physics-ckpt1,experts,length_freq,SFD,log_word_length,2.1151394121516205
physics-ckpt1,experts,length_freq,SFD,attention,24.54905465594637
physics-ckpt1,experts,length_freq,RPD_inc,log_word_freq,0.7637117481704981
physics-ckpt1,experts,length_freq,RPD_inc,log_word_length,6.264132905581708
physics-ckpt1,experts,length_freq,RPD_inc,attention,17.91081602765797
physics-ckpt1,experts,length_freq,TFC,log_word_freq,3.1950546168023193
physics-ckpt1,experts,length_freq,TFC,log_word_length,16.295719324741047
physics-ckpt1,experts,length_freq,TFC,attention,25.425466641922124
physics-ckpt1,experts,length_freq,pca,log_word_freq,2.5675920560653487
physics-ckpt1,experts,length_freq,pca,log_word_length,12.156751239964729
physics-ckpt1,experts,length_freq,pca,attention,22.76812313509979
physics-ckpt1,novices,length_freq,FPRT,log_word_freq,1.593619742206587
physics-ckpt1,novices,length_freq,FPRT,log_word_length,11.690534568295796
physics-ckpt1,novices,length_freq,FPRT,attention,20.389853504898802
