score,text_domain,major,decile,n,prop_within_major
tq,biology,biology students,0.0,39,0.1512
tq,biology,biology students,0.1,0,0.0
tq,biology,biology students,0.2,0,0.0
tq,biology,biology students,0.3,74,0.2868
tq,biology,biology students,0.4,0,0.0
tq,biology,biology students,0.5,0,0.0
tq,biology,biology students,0.6,0,0.0
tq,biology,biology students,0.7,86,0.3333
tq,biology,biology students,0.8,0,0.0
tq,biology,biology students,0.9,0,0.0
tq,biology,biology students,1.0,59,0.2287
tq,biology,physics students,0.0,52,0.2708
tq,biology,physics students,0.1,0,0.0
tq,biology,physics students,0.2,0,0.0
tq,biology,physics students,0.3,67,0.349
tq,biology,physics students,0.4,0,0.0
tq,biology,physics students,0.5,0,0.0
tq,biology,physics students,0.6,0,0.0
tq,biology,physics students,0.7,58,0.3021
tq,biology,physics students,0.8,0,0.0
tq,biology,physics students,0.9,0,0.0
tq,biology,physics students,1.0,15,0.0781
tq,physics,biology students,0.0,105,0.407
tq,physics,biology students,0.1,0,0.0
tq,physics,biology students,0.2,0,0.0
tq,physics,biology students,0.3,114,0.4419
tq,physics,biology students,0.4,0,0.0
tq,physics,biology students,0.5,0,0.0
tq,physics,biology students,0.6,0,0.0
tq,physics,biology students,0.7,33,0.1279
tq,physics,biology students,0.8,0,0.0
tq,physics,biology students,0.9,0,0.0
tq,physics,biology students,1.0,6,0.0233
tq,physics,physics students,0.0,58,0.3021
tq,physics,physics students,0.1,0,0.0
tq,physics,physics students,0.2,0,0.0
tq,physics,physics students,0.3,78,0.4062
tq,physics,physics students,0.4,0,0.0
tq,physics,physics students,0.5,0,0.0
tq,physics,physics students,0.6,0,0.0
tq,physics,physics students,0.7,45,0.2344
tq,physics,physics students,0.8,0,0.0
tq,physics,physics students,0.9,0,0.0
tq,physics,physics students,1.0,11,0.0573
bq,biology,biology students,0.0,7,0.0271
bq,biology,biology students,0.1,0,0.0
bq,biology,biology students,0.2,0,0.0
bq,biology,biology students,0.3,34,0.1318
bq,biology,biology students,0.4,0,0.0
bq,biology,biology students,0.5,0,0.0
bq,biology,biology students,0.6,0,0.0
bq,biology,biology students,0.7,84,0.3256
bq,biology,biology students,0.8,0,0.0
bq,biology,biology students,0.9,0,0.0
bq,biology,biology students,1.0,133,0.5155
bq,biology,physics students,0.0,23,0.1198
bq,biology,physics students,0.1,0,0.0
bq,biology,physics students,0.2,0,0.0
bq,biology,physics students,0.3,41,0.2135
bq,biology,physics students,0.4,0,0.0
bq,biology,physics students,0.5,0,0.0
bq,biology,physics students,0.6,0,0.0
bq,biology,physics students,0.7,70,0.3646
bq,biology,physics students,0.8,0,0.0
bq,biology,physics students,0.9,0,0.0
bq,biology,physics students,1.0,58,0.3021
bq,physics,biology students,0.0,36,0.1395
bq,physics,biology students,0.1,0,0.0
bq,physics,biology students,0.2,0,0.0
bq,physics,biology students,0.3,86,0.3333
bq,physics,biology students,0.4,0,0.0
bq,physics,biology students,0.5,0,0.0
bq,physics,biology students,0.6,0,0.0
bq,physics,biology students,0.7,96,0.3721
bq,physics,biology students,0.8,0,0.0
bq,physics,biology students,0.9,0,0.0
bq,physics,biology students,1.0,40,0.155
bq,physics,physics students,0.0,13,0.0677
bq,physics,physics students,0.1,0,0.0
bq,physics,physics students,0.2,0,0.0
bq,physics,physics students,0.3,44,0.2292
bq,physics,physics students,0.4,0,0.0
bq,physics,physics students,0.5,0,0.0
bq,physics,physics students,0.6,0,0.0
bq,physics,physics students,0.7,78,0.4062
bq,physics,physics students,0.8,0,0.0
bq,physics,physics students,0.9,0,0.0
bq,physics,physics students,1.0,57,0.2969
