model_lm,index,epoch,spec,model,n,ll,delta_ll,b_surprisal,p_surprisal
german-gpt2,0,0.0,covariates,aligned,109404,-826444.6551006333,4685.189148357604,24.422817847278484,0.0
german-gpt2,1,0.131,covariates,aligned,109404,-825203.9145697994,5925.9296791914385,28.461318432161363,0.0
german-gpt2,2,0.262,covariates,aligned,109404,-825101.7965526284,6028.047696362482,28.54741692438735,0.0
german-gpt2,0,0.0,covariates,baseline,109404,-826444.6551006333,4685.189148357604,24.422817847278484,0.0
german-gpt2,1,0.131,covariates,baseline,109404,-826444.6551006333,4685.189148357604,24.422817847278484,0.0
german-gpt2,2,0.262,covariates,baseline,109404,-826444.6551006333,4685.189148357604,24.422817847278484,0.0
german-gpt2,0,0.0,covariates,biology,109404,-826444.6551006333,4685.189148357604,24.422817847278484,0.0
german-gpt2,1,0.131,covariates,biology,109404,-825565.8601704402,5563.984078550711,28.294938940853996,0.0
german-gpt2,2,0.262,covariates,biology,109404,-825654.9122904501,5474.931958540808,27.871615620486196,0.0
german-gpt2,0,0.0,covariates,expertise_aligned,109404,-826444.6551006333,4685.189148357604,24.422817847278484,0.0
german-gpt2,1,0.131,covariates,expertise_aligned,109404,-826261.2053862823,4868.6388627085835,25.460368279144994,0.0
german-gpt2,2,0.262,covariates,expertise_aligned,109404,-826279.6684133426,4850.175835648319,25.402235401814856,0.0
german-gpt2,0,0.0,covariates,physics,109404,-826444.6551006333,4685.189148357604,24.422817847278484,0.0
german-gpt2,1,0.131,covariates,physics,109404,-825553.3991725129,5576.445076477947,26.791111934467406,0.0
german-gpt2,2,0.262,covariates,physics,109404,-825412.0989276835,5717.745321307331,27.051903166806753,0.0
german-gpt2,0,0.0,expertise,aligned,109404,-831858.6652330608,16861.514973289566,44.8567808417597,0.0
german-gpt2,1,0.131,expertise,aligned,109404,-829509.614526912,19210.565679438412,47.17370979472667,0.0
german-gpt2,2,0.262,expertise,aligned,109404,-829388.8214131888,19331.358793161577,46.87662857208901,0.0
german-gpt2,0,0.0,expertise,baseline,109404,-831858.6652330608,16861.514973289566,44.8567808417597,0.0
german-gpt2,1,0.131,expertise,baseline,109404,-831858.6652330608,16861.514973289566,44.8567808417597,0.0
german-gpt2,2,0.262,expertise,baseline,109404,-831858.6652330608,16861.514973289566,44.8567808417597,0.0
german-gpt2,0,0.0,expertise,biology,109404,-831858.6652330608,16861.514973289566,44.8567808417597,0.0
german-gpt2,1,0.131,expertise,biology,109404,-829540.444707909,19179.735498441383,48.72327302236481,0.0
german-gpt2,2,0.262,expertise,biology,109404,-829764.3455309771,18955.834675373277,48.204384751607755,0.0
german-gpt2,0,0.0,expertise,expertise_aligned,109404,-831858.6652330608,16861.514973289566,44.8567808417597,0.0
german-gpt2,1,0.131,expertise,expertise_aligned,109404,-831421.5075854008,17298.67262094957,45.81222119625363,0.0
german-gpt2,2,0.262,expertise,expertise_aligned,109404,-831453.0704640112,17267.109742339235,45.776756865634994,0.0
german-gpt2,0,0.0,expertise,physics,109404,-831858.6652330608,16861.514973289566,44.8567808417597,0.0
german-gpt2,1,0.131,expertise,physics,109404,-829972.9854451834,18747.194761167048,47.45788337076857,0.0
german-gpt2,2,0.262,expertise,physics,109404,-829609.4917966215,19110.68840972893,47.44380762609854,0.0
german-gpt2,0,0.0,full,aligned,109404,-821454.5084567073,4450.493154893396,13.226107730800656,1.7596556394151594e-209
german-gpt2,1,0.131,full,aligned,109404,-820692.270247663,5212.731363937724,15.027545740715425,1.8180823295325892e-239
german-gpt2,2,0.262,full,aligned,109404,-820606.9630902602,5298.0385213405825,14.851438625470083,1.0209518910019603e-237
german-gpt2,0,0.0,full,baseline,109404,-821454.5084567073,4450.493154893396,13.226107730800656,1.7596556394151594e-209
german-gpt2,1,0.131,full,baseline,109404,-821454.5084567073,4450.493154893396,13.226107730800656,1.7596556394151594e-209
german-gpt2,2,0.262,full,baseline,109404,-821454.5084567073,4450.493154893396,13.226107730800656,1.7596556394151594e-209
german-gpt2,0,0.0,full,biology,109404,-821454.5084567073,4450.493154893396,13.226107730800656,1.7596556394151594e-209
german-gpt2,1,0.131,full,biology,109404,-820763.3314899873,5141.670121613424,15.538019528172534,7.456537625088417e-250
german-gpt2,2,0.262,full,biology,109404,-820834.6760251654,5070.325586435385,15.007320695751652,4.975864728163004e-240
german-gpt2,0,0.0,full,expertise_aligned,109404,-821454.5084567073,4450.493154893396,13.226107730800656,1.7596556394151594e-209
german-gpt2,1,0.131,full,expertise_aligned,109404,-821311.02722877,4593.974382830784,13.604487590772164,8.273793530966242e-212
german-gpt2,2,0.262,full,expertise_aligned,109404,-821315.1797213281,4589.821890272666,13.540187379683875,1.9282321044994707e-210
german-gpt2,0,0.0,full,physics,109404,-821454.5084567073,4450.493154893396,13.226107730800656,1.7596556394151594e-209
german-gpt2,1,0.131,full,physics,109404,-820820.4774050518,5084.524206548929,15.612505895330957,1.5067494328437923e-260
german-gpt2,2,0.262,full,physics,109404,-820681.2821632553,5223.7194483454805,15.92748284200099,6.78606582271317e-270
