model_lm,index,epoch,spec,model,n,ll,delta_ll,b_surprisal,p_surprisal,response
german-gpt2,0,0.0,covariates,aligned,109404,-826444.6551006333,4685.189148357604,24.422817847278484,0.0,raw_rt
german-gpt2,1,0.131,covariates,aligned,109404,-825203.9145697994,5925.9296791914385,28.461318432161363,0.0,raw_rt
german-gpt2,2,0.262,covariates,aligned,109404,-825101.7965526284,6028.047696362482,28.54741692438735,0.0,raw_rt
german-gpt2,3,0.394,covariates,aligned,109404,-825182.0503195088,5947.793929482112,28.357090162602056,0.0,raw_rt
german-gpt2,0,0.0,covariates,baseline,109404,-826444.6551006333,4685.189148357604,24.422817847278484,0.0,raw_rt
german-gpt2,1,0.131,covariates,baseline,109404,-826444.6551006333,4685.189148357604,24.422817847278484,0.0,raw_rt
german-gpt2,2,0.262,covariates,baseline,109404,-826444.6551006333,4685.189148357604,24.422817847278484,0.0,raw_rt
german-gpt2,3,0.394,covariates,baseline,109404,-826444.6551006333,4685.189148357604,24.422817847278484,0.0,raw_rt
german-gpt2,0,0.0,covariates,biology,109404,-826444.6551006333,4685.189148357604,24.422817847278484,0.0,raw_rt
german-gpt2,1,0.131,covariates,biology,109404,-825565.8601704402,5563.984078550711,28.294938940853996,0.0,raw_rt
german-gpt2,2,0.262,covariates,biology,109404,-825654.9122904501,5474.931958540808,27.871615620486196,0.0,raw_rt
german-gpt2,3,0.394,covariates,biology,109404,-825671.2849266591,5458.559322331799,27.931834837340872,0.0,raw_rt
german-gpt2,0,0.0,covariates,physics,109404,-826444.6551006333,4685.189148357604,24.422817847278484,0.0,raw_rt
german-gpt2,1,0.131,covariates,physics,109404,-825553.3991725129,5576.445076477947,26.791111934467406,0.0,raw_rt
german-gpt2,2,0.262,covariates,physics,109404,-825412.0989276835,5717.745321307331,27.051903166806753,0.0,raw_rt
german-gpt2,3,0.394,covariates,physics,109404,-825513.2330873619,5616.611161628971,26.686422823873436,0.0,raw_rt
german-gpt2,0,0.0,covariates,prompted,109404,-826140.1507774062,4989.693471584702,25.486645260829548,0.0,raw_rt
