title	topic	topic_relevance	num_words
Theoretische Mechanik	2	0.6162	1531
Experimentalphysik	-1	0.8150	128
Akustik	7	0.5450	1741
Angewandte Physik	-1	0.8150	211
Ballistik	2	0.6162	548
Atomphysik	5	0.6795	452
Astrophysik	4	0.6571	1287
Beschleunigerphysik	12	0.6693	235
Biophysik	-1	0.8150	1237
Elektrodynamik	8	0.5638	1160
Festkörperphysik	0	0.7204	807
Forschung mit Neutronen	5	0.6795	498
Computerphysik	-1	0.8150	765
Fluiddynamik	17	0.5868	239
Allgemeine Relativitätstheorie	2	0.6162	6900
Gravitation	2	0.6162	4057
Halbleiter	8	0.5638	3540
Gasdynamik	-1	0.8150	328
Halbleiter	8	0.5638	3540
Hochenergiedichtephysik	-1	0.8150	286
Kernphysik	5	0.6795	3619
Kinetische Gastheorie	16	0.6784	342
Klassische Mechanik	2	0.6162	1301
Klassische Physik	-1	0.8150	1428
Kosmologie	4	0.6571	3654
Geophysik	4	0.6571	2760
Mechanik	2	0.6162	1178
Medizinische Physik	-1	0.8150	373
Metrologie	-1	0.8150	391
Nichtlineare Dynamik	2	0.6162	121
Mathematische Physik	-1	0.8150	1120
Neutronenstreuung	5	0.6795	652
Molekülphysik	-1	0.8150	1427
Photonik	11	0.6067	831
Oberflächenphysik	17	0.5868	518
Optik	11	0.6067	1121
Ökonophysik	-1	0.8150	2445
Quantenchromodynamik	0	0.7204	2771
Plasma (Physik)	-1	0.8150	3328
Quantenoptik	0	0.7204	486
Quantengravitation	0	0.7204	1318
Quantenfeldtheorie	0	0.7204	4569
Quantenphysik	0	0.7204	1766
Soziophysik	-1	0.8150	846
Raumflugmechanik	2	0.6162	2466
Statistische Mechanik	-1	0.8150	479
Statistische Physik	-1	0.8150	3758
Strahlenphysik	12	0.6693	148
Strömungsmechanik	-1	0.8150	3042
Reaktorphysik	5	0.6795	2910
Technische Optik	-1	0.8150	261
Technische Physik	2	0.6162	670
Technische Mechanik	2	0.6162	1754
Physik	-1	0.8150	4697
Teilchenphysik	-1	0.8150	733
Tieftemperaturphysik	13	0.6241	287
Thermodynamik	13	0.6241	6935
Vielteilchentheorie	0	0.7204	440
Verkehrsphysik	-1	0.8150	255
Amplituhedron	-1	0.8150	280
Anomalie (Quantenfeldtheorie)	0	0.7204	273
Anyon	0	0.7204	399
Asymptotisch sichere Gravitation	0	0.7204	407
Asymptotische Freiheit	-1	0.8150	191
Axiomatische Quantenfeldtheorie	0	0.7204	1331
B − L	0	0.7204	316
BCFW-Rekursionsrelationen	0	0.7204	268
Bethe-Salpeter-Gleichung	10	0.7557	417
Bethe-Heitler-Formel	10	0.7557	187
Bi-Yang-Mills-Gleichungen	-1	0.8150	252
Bhabha-Streuung	-1	0.8150	525
Bornsche Näherung	-1	0.8150	398
Boson	0	0.7204	736
Bottomness	0	0.7204	152
BPST-Instantone	0	0.7204	136
BPS-Grenze	-1	0.8150	369
Callan-Symanzik-Gleichung	0	0.7204	168
BRST-Symmetrie	0	0.7204	1161
Casimir-Effekt	-1	0.8150	1249
Casimirs Trick	-1	0.8150	355
Chirale Symmetrie	0	0.7204	350
CPT-Theorem	-1	0.8150	517
Delbrück-Streuung	-1	0.8150	575
Dirac-Spinor	-1	0.8150	237
Dirac-Kähler-Gleichung	-1	0.8150	226
Dirac-Gleichung	-1	0.8150	1705
Dirac-Operator	-1	0.8150	530
Drell-Yan-Prozess	0	0.7204	194
Dyson-Gleichung	0	0.7204	169
Dunkles Photon	-1	0.8150	586
Eichboson	0	0.7204	643
Eightfold Way	0	0.7204	183
Dyson-Schwinger-Gleichungen	0	0.7204	785
Dyson-Reihe	0	0.7204	291
Elektrisches Dipolmoment des Neutrons	-1	0.8150	956
Elektromagnetische Wechselwirkung	8	0.5638	689
ER=EPR	-1	0.8150	335
Faddejew-Popow-Geister	0	0.7204	288
Fabri-Picasso-Theorem	0	0.7204	241
F-Yang-Mills-Gleichungen	-1	0.8150	483
Fano-Resonanz	10	0.7557	130
Farbsupraleitung	0	0.7204	426
Fermi-Wechselwirkung	-1	0.8150	226
Erzeugungs- und Vernichtungsoperator	0	0.7204	1912
Farbladung	0	0.7204	1002
Feynman-Diagramm	0	0.7204	1455
Feynman-Parameter	0	0.7204	257
Flavour changing neutral current	-1	0.8150	383
Flavour	0	0.7204	569
Fockraum	0	0.7204	175
FQFT	0	0.7204	512
Fock-Zustand	0	0.7204	151
Gell-Mann-Matrizen	0	0.7204	180
Elektroschwache Wechselwirkung	10	0.7557	1397
Gittereichtheorie	0	0.7204	1556
Gluonenfeld	0	0.7204	248
Goldstone-Boson-Äquivalenztheorem	0	0.7204	148
Gluonenfeldstärketensor	0	0.7204	273
Grundzustand	-1	0.8150	344
Graßmann-Zahl	0	0.7204	359
Gebundener Zustand	0	0.7204	507
Haagsches Theorem	0	0.7204	591
Gupta-Bleuler-Formalismus	0	0.7204	471
Halpern-Streuung	-1	0.8150	380
Holografisches Prinzip	0	0.7204	802
Hyperladung	-1	0.8150	159
Hawking-Strahlung	-1	0.8150	2586
